Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.11553597450256348,3.25093674659729,0.3134162425994873,0.03244972229003906,"Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
2,0.11053872108459473,2.3910391330718994,0.31781578063964844,0.037204742431640625,ReLU(inplace=True)
3,0.15778136253356934,3.3364782333374023,0.29691624641418457,0.03438091278076172,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
4,0.1973416805267334,2.127476215362549,0.30750107765197754,0.03653860092163086,ReLU(inplace=True)
5,0.07733988761901855,0.6824555397033691,0.19399309158325195,0.010453939437866211,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
6,0.11395692825317383,1.7038743495941162,0.2171797752380371,0.018558263778686523,"Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
7,0.11973953247070312,1.0200490951538086,0.21126866340637207,0.01880645751953125,ReLU(inplace=True)
8,0.1323566436767578,1.7375774383544922,0.19980621337890625,0.020097970962524414,"Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
9,0.11766672134399414,0.9038517475128174,0.20656108856201172,0.01633763313293457,ReLU(inplace=True)
10,0.12095975875854492,0.3192880153656006,0.13751697540283203,0.004986763000488281,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
11,0.13750672340393066,0.8527867794036865,0.1561892032623291,0.009498834609985352,"Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.12291741371154785,0.48126769065856934,0.1591358184814453,0.009137868881225586,ReLU(inplace=True)
13,0.12722086906433105,0.8790738582611084,0.14591455459594727,0.009484529495239258,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
14,0.13878154754638672,0.45137548446655273,0.14385056495666504,0.010567188262939453,ReLU(inplace=True)
15,0.13791584968566895,0.8314208984375,0.12863516807556152,0.008712530136108398,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
16,0.15363001823425293,0.36362457275390625,0.13650131225585938,0.013115167617797852,ReLU(inplace=True)
17,0.11711335182189941,0.12557220458984375,0.10476183891296387,0.003458738327026367,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
18,0.13384246826171875,0.4233517646789551,0.1069495677947998,0.006211519241333008,"Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
19,0.17363429069519043,0.2255692481994629,0.10710644721984863,0.006437778472900391,ReLU(inplace=True)
20,0.14998626708984375,0.467618465423584,0.09327030181884766,0.0055506229400634766,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
21,0.1472318172454834,0.18919730186462402,0.09231948852539062,0.005605459213256836,ReLU(inplace=True)
22,0.1667492389678955,0.4460115432739258,0.0800774097442627,0.006150007247924805,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
23,0.151475191116333,0.15602803230285645,0.08379578590393066,0.0054051876068115234,ReLU(inplace=True)
24,0.14102888107299805,0.06429195404052734,0.06673598289489746,0.0025022029876708984,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
25,0.18192028999328613,0.11877870559692383,0.05775570869445801,0.002811431884765625,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
26,0.19808197021484375,0.05272197723388672,0.0728302001953125,0.004248619079589844,ReLU(inplace=True)
27,0.17520475387573242,0.10681533813476562,0.06621026992797852,0.004785060882568359,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
28,0.16582465171813965,0.05251336097717285,0.05294466018676758,0.0038394927978515625,ReLU(inplace=True)
29,0.20065522193908691,0.12181544303894043,0.04554271697998047,0.002885580062866211,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
30,0.1538999080657959,0.04211902618408203,0.04546236991882324,0.0028090476989746094,ReLU(inplace=True)
31,0.16440653800964355,0.020693540573120117,0.04487943649291992,0.0017664432525634766,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
32,0.1652507781982422,0.021144866943359375,0.04612088203430176,0.0016353130340576172,"AdaptiveAvgPool2d(output_size=(7, 7))"
33,0.1957840919494629,0.008581876754760742,0.006919384002685547,0.0014615058898925781,"Linear(in_features=25088, out_features=4096, bias=True)"
34,0.21034789085388184,0.00465703010559082,0.006644725799560547,0.0016181468963623047,ReLU(inplace=True)
35,0.2270510196685791,0.00464940071105957,0.006682395935058594,0.0015323162078857422,"Dropout(p=0.5, inplace=False)"
36,0.20350885391235352,0.00788116455078125,0.002290487289428711,0.0015225410461425781,"Linear(in_features=4096, out_features=4096, bias=True)"
37,0.2372887134552002,0.004935741424560547,0.002385854721069336,0.001363515853881836,ReLU(inplace=True)
38,0.21035313606262207,0.004677534103393555,0.002249002456665039,0.0013511180877685547,"Dropout(p=0.5, inplace=False)"
