Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.11259245872497559,3.5353775024414062,0.3384816646575928,0.03408622741699219,"Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
2,0.1205911636352539,3.629403591156006,0.33275794982910156,0.03357267379760742,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
3,0.14222097396850586,1.8053090572357178,0.3421790599822998,0.03229951858520508,ReLU(inplace=True)
4,0.20186734199523926,3.370392322540283,0.3135542869567871,0.033620595932006836,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
5,0.15158343315124512,3.5823819637298584,0.3111104965209961,0.033479928970336914,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
6,0.1721189022064209,2.8075835704803467,0.32166194915771484,0.03831934928894043,ReLU(inplace=True)
7,0.08864450454711914,0.7560362815856934,0.23190593719482422,0.010498285293579102,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
8,0.14207124710083008,1.848752498626709,0.23012685775756836,0.01842665672302246,"Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
9,0.12404227256774902,1.8713531494140625,0.22263264656066895,0.023165464401245117,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
10,0.13506793975830078,1.128354549407959,0.21296143531799316,0.017554283142089844,ReLU(inplace=True)
11,0.17030596733093262,1.8046669960021973,0.20667076110839844,0.015481948852539062,"Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.1483149528503418,1.862325668334961,0.2332139015197754,0.020063400268554688,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
13,0.15040850639343262,1.0802440643310547,0.20493435859680176,0.01945781707763672,ReLU(inplace=True)
14,0.10619544982910156,0.3726375102996826,0.15680360794067383,0.006508588790893555,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
15,0.1271529197692871,0.9065573215484619,0.16129422187805176,0.009299755096435547,"Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
16,0.13538455963134766,0.8911342620849609,0.16729140281677246,0.010317325592041016,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
17,0.13226079940795898,0.5081593990325928,0.1724691390991211,0.010767221450805664,ReLU(inplace=True)
18,0.171553373336792,0.8643882274627686,0.1552271842956543,0.00870060920715332,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
19,0.16537761688232422,0.8926863670349121,0.15571141242980957,0.01152801513671875,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
20,0.145249605178833,0.49080753326416016,0.14798617362976074,0.009931087493896484,ReLU(inplace=True)
21,0.1385648250579834,0.8935840129852295,0.13677215576171875,0.012140989303588867,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
22,0.15172362327575684,0.9156725406646729,0.15262794494628906,0.010898828506469727,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
23,0.21165180206298828,0.44827938079833984,0.14406251907348633,0.008895635604858398,ReLU(inplace=True)
24,0.1260678768157959,0.17583060264587402,0.10580825805664062,0.003363370895385742,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
25,0.22672629356384277,0.4666175842285156,0.11013555526733398,0.005252361297607422,"Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
26,0.16086411476135254,0.44646215438842773,0.1201481819152832,0.005259275436401367,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
27,0.1348433494567871,0.22303533554077148,0.11199188232421875,0.0053768157958984375,ReLU(inplace=True)
